timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1589477231749,0,290,6.3720703125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231750,0,307,6.74560546875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231750,0,277,6.0864257812500005E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231751,0,-26,-5.712890625E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231752,0,-44,-9.66796875E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231752,0,-31,-6.8115234375E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231752,0,-15,-3.2958984375E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231781,0,258,5.6689453125000004E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231798,0,264,5.80078125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231799,0,264,5.80078125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231799,0,276,6.064453125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231800,0,308,6.767578125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231800,0,324,7.119140625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231800,0,316,6.943359375000001E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231801,0,299,6.56982421875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231801,0,276,6.064453125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231801,0,256,5.625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231801,0,-22,-4.833984375E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231802,0,-43,-9.448242187500001E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231802,0,-84,-1.8457031250000004E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231802,0,120,2.63671875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231802,0,81,1.77978515625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231802,0,54,1.1865234375000001E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231802,0,28,6.15234375E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231803,0,-308,-6.767578125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231803,0,-282,-6.1962890625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231803,0,12,2.63671875E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231803,0,40,8.7890625E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231803,0,56,1.23046875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231804,0,83,1.82373046875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231815,0,118,2.5927734375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231816,0,-111,-2.43896484375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231816,0,-84,-1.8457031250000004E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231817,0,-52,-1.142578125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231817,0,-56,-1.23046875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231817,0,-89,-1.95556640625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
